"category"	"size"	"lstrat"	"lstrat_e"	"lform"	"genl"	"sex"	"smind"	"smeand"	"smaxd"	"sfreq"	"sseas"	"indL"	"indT"	"indK"	"indF"	"indR"	"indN"	"biome"	"eastlim"	"lim_low"	"lim_up"	"lim_range"	"EOO_est"	"AOO_est"	"hab_sum"	"forest"	"hemeroby"	"hem_e"	"nc"	"MAT"	"T_diurR"	"T_iso"	"T_seas"	"Tmax_warmM"	"Tmin_coldM"	"T_annualR"	"T_wetQ"	"T_dryQ"	"T_warmQ"	"T_coldQ"	"MAP"	"P_wetM"	"P_dryM"	"P_seas"	"P_wetQ"	"P_dryQ"	"P_warmQ"	"P_coldQ"	"gdd0"	"gdd5"	"gdd10"	"ngd0"	"ngd5"	"ngd10"
"R.ciliifera.GOT.2.autoMSMS.pos_P1.D.2_1_7134"	1	11	1	1	1	3.3	2	80	115	150	0	0	4	6	6	2	4	2	0	0	0	2600	2600	7186607	512	4	0	0	0	322164	12.55	9.3	36	5.86	26.35	0.85	26	12.95	18.95	20.35	5.65	764.8	112.1	23.8	43	301.9	92.3	119.5	231.9	4585.6	2835.4	1507	365	345	212
"R.ciliifera.GOT.3.autoMSMS.pos_P1.D.3_1_7135"	1	11	1	1	1	3.3	2	80	115	150	0	0	4	6	6	2	4	2	0	0	0	2600	2600	7186607	512	4	0	0	0	322164	12.55	9.3	36	5.86	26.35	0.85	26	12.95	18.95	20.35	5.65	764.8	112.1	23.8	43	301.9	92.3	119.5	231.9	4585.6	2835.4	1507	365	345	212
"R.subbifurca.OE1.1.autoMSMS.pos_P1.D.7_1_7139"	1	10	1	1	2	3.3	3	75	84.5	94	3	4	3	6	3	4	6	4	9	2	50	1400	1350	8037856	1732	4	0	0	5	812038	9.75	6	34.1	4.15	18.75	1.35	17.4	7.65	9.75	15.05	4.55	1012.3	116.8	61.2	20	328.3	197.8	236	272.7	3563.1	1782.5	616.9	365	288	168
"R.subbifurca.OE1.2.autoMSMS.pos_P1.D.8_1_7140"	1	10	1	1	2	3.3	3	75	84.5	94	3	4	3	6	3	4	6	4	9	2	50	1400	1350	8037856	1732	4	0	0	5	812038	9.75	6	34.1	4.15	18.75	1.35	17.4	7.65	9.75	15.05	4.55	1012.3	116.8	61.2	20	328.3	197.8	236	272.7	3563.1	1782.5	616.9	365	288	168
"R.subbifurca.OE1.3.autoMSMS.pos_P1.D.9_1_7141"	1	10	1	1	2	3.3	3	75	84.5	94	3	4	3	6	3	4	6	4	9	2	50	1400	1350	8037856	1732	4	0	0	5	812038	9.75	6	34.1	4.15	18.75	1.35	17.4	7.65	9.75	15.05	4.55	1012.3	116.8	61.2	20	328.3	197.8	236	272.7	3563.1	1782.5	616.9	365	288	168
"R.sorocarpa.SWE.1.autoMSMS.pos_P1.B.7_1_7121"	1	14.17	1	1	3	3.3	3	64	79.5	95	3	4	4	1	4	4	4	4	6	4	0	2400	2400	0	0	5	4	5	3	17530836	6.15	7	22.8	8.3	22.05	-8.45	30.5	15.35	-0.45	16.85	-4.55	711.7	89.7	35.1	28.9	249.7	114	236.6	140.2	2774.5	1650.6	761.7	243	195	147
"R.sorocarpa.SWE.2.autoMSMS.pos_P1.B.8_1_7122"	1	14.17	1	1	3	3.3	3	64	79.5	95	3	4	4	1	4	4	4	4	6	4	0	2400	2400	0	0	5	4	5	3	17530836	6.15	7	22.8	8.3	22.05	-8.45	30.5	15.35	-0.45	16.85	-4.55	711.7	89.7	35.1	28.9	249.7	114	236.6	140.2	2774.5	1650.6	761.7	243	195	147
"R.sorocarpa.SWE.3.autoMSMS.pos_P1.B.9_1_7123"	1	14.17	1	1	3	3.3	3	64	79.5	95	3	4	4	1	4	4	4	4	6	4	0	2400	2400	0	0	5	4	5	3	17530836	6.15	7	22.8	8.3	22.05	-8.45	30.5	15.35	-0.45	16.85	-4.55	711.7	89.7	35.1	28.9	249.7	114	236.6	140.2	2774.5	1650.6	761.7	243	195	147
"R.beyrichiana.OEL.1.autoMSMS.pos_P1.D.4_1_7136"	1	25	1	1	2	3.3	3	90	110	130	3	1	4	3	2	5	2	4	5	2	0	1000	1000	18905344	2044	5	0	0	0	960948	9.35	6.6	30	5.66	21.45	-0.55	23.2	10.25	6.95	16.65	2.45	876.4	108	44.6	24.3	293	161.6	228.4	228.9	3440.1	1853.3	808.8	365	252	170
"R.beyrichiana.OEL.2.autoMSMS.pos_P1.D.5_1_7137"	1	25	1	1	2	3.3	3	90	110	130	3	1	4	3	2	5	2	4	5	2	0	1000	1000	18905344	2044	5	0	0	0	960948	9.35	6.6	30	5.66	21.45	-0.55	23.2	10.25	6.95	16.65	2.45	876.4	108	44.6	24.3	293	161.6	228.4	228.9	3440.1	1853.3	808.8	365	252	170
"R.beyrichiana.OEL.3.autoMSMS.pos_P1.D.6_1_7138"	1	25	1	1	2	3.3	3	90	110	130	3	1	4	3	2	5	2	4	5	2	0	1000	1000	18905344	2044	5	0	0	0	960948	9.35	6.6	30	5.66	21.45	-0.55	23.2	10.25	6.95	16.65	2.45	876.4	108	44.6	24.3	293	161.6	228.4	228.9	3440.1	1853.3	808.8	365	252	170
"R.subbifurca.OE2.1.autoMSMS.pos_P1.E.1_1_7142"	1	10	1	1	2	3.3	3	75	84.5	94	3	4	3	6	3	4	6	4	9	2	50	1400	1350	8037856	1732	4	0	0	5	812038	9.75	6	34.1	4.15	18.75	1.35	17.4	7.65	9.75	15.05	4.55	1012.3	116.8	61.2	20	328.3	197.8	236	272.7	3563.1	1782.5	616.9	365	288	168
"R.subbifurca.OE2.2.autoMSMS.pos_P1.E.2_1_7143"	1	10	1	1	2	3.3	3	75	84.5	94	3	4	3	6	3	4	6	4	9	2	50	1400	1350	8037856	1732	4	0	0	5	812038	9.75	6	34.1	4.15	18.75	1.35	17.4	7.65	9.75	15.05	4.55	1012.3	116.8	61.2	20	328.3	197.8	236	272.7	3563.1	1782.5	616.9	365	288	168
"R.subbifurca.OE2.3.autoMSMS.pos_P1.E.3_1_7144"	1	10	1	1	2	3.3	3	75	84.5	94	3	4	3	6	3	4	6	4	9	2	50	1400	1350	8037856	1732	4	0	0	5	812038	9.75	6	34.1	4.15	18.75	1.35	17.4	7.65	9.75	15.05	4.55	1012.3	116.8	61.2	20	328.3	197.8	236	272.7	3563.1	1782.5	616.9	365	288	168
"R.ciliifera.HAL.1.autoMSMS.pos_P1.E.7_1_7148"	1	11	1	1	1	3.3	2	80	115	150	0	0	4	6	6	2	4	2	0	0	0	2600	2600	7186607	512	4	0	0	0	322164	12.55	9.3	36	5.86	26.35	0.85	26	12.95	18.95	20.35	5.65	764.8	112.1	23.8	43	301.9	92.3	119.5	231.9	4585.6	2835.4	1507	365	345	212
"R.ciliifera.HAL.2.autoMSMS.pos_P1.E.8_1_7149"	1	11	1	1	1	3.3	2	80	115	150	0	0	4	6	6	2	4	2	0	0	0	2600	2600	7186607	512	4	0	0	0	322164	12.55	9.3	36	5.86	26.35	0.85	26	12.95	18.95	20.35	5.65	764.8	112.1	23.8	43	301.9	92.3	119.5	231.9	4585.6	2835.4	1507	365	345	212
"R.ciliifera.HAL.3.autoMSMS.pos_P1.E.9_1_7150"	1	11	1	1	1	3.3	2	80	115	150	0	0	4	6	6	2	4	2	0	0	0	2600	2600	7186607	512	4	0	0	0	322164	12.55	9.3	36	5.86	26.35	0.85	26	12.95	18.95	20.35	5.65	764.8	112.1	23.8	43	301.9	92.3	119.5	231.9	4585.6	2835.4	1507	365	345	212
"R.gougetiana.HAL.1.autoMSMS.pos_P1.F.1_1_7151"	1	20	1	1	1	3.3	1	150	165	180	0	0	4	7	4	3	5	0	0	0	50	1000	950	0	0	3	0	0	0	3164149	11.75	9.1	31.4	7.01	26.85	-2.55	28.9	13.85	8.05	21.15	2.35	693	95.3	31.5	32.6	255.8	107.3	168.7	168.4	4301.2	2737.9	1536	365	267	203
"R.gougetiana.HAL.2.autoMSMS.pos_P1.F.2_1_7152"	1	20	1	1	1	3.3	1	150	165	180	0	0	4	7	4	3	5	0	0	0	50	1000	950	0	0	3	0	0	0	3164149	11.75	9.1	31.4	7.01	26.85	-2.55	28.9	13.85	8.05	21.15	2.35	693	95.3	31.5	32.6	255.8	107.3	168.7	168.4	4301.2	2737.9	1536	365	267	203
"R.gougetiana.HAL.3.autoMSMS.pos_P1.F.3_1_7153"	1	20	1	1	1	3.3	1	150	165	180	0	0	4	7	4	3	5	0	0	0	50	1000	950	0	0	3	0	0	0	3164149	11.75	9.1	31.4	7.01	26.85	-2.55	28.9	13.85	8.05	21.15	2.35	693	95.3	31.5	32.6	255.8	107.3	168.7	168.4	4301.2	2737.9	1536	365	267	203
"R.huebeneriana.GOT.1.autoMSMS.pos_P1.C.1_1_7124"	1	10	1	1	2	3.3	3	54	62	70	2	4	4	5	4	6	4	4	7	3	0	600	600	6411367	928	1	0	0	3	860892	8.25	6.8	28.9	6.35	21.05	-3.15	24.2	13.95	4.25	16.25	0.15	843.6	91.1	45.9	21.9	252.3	161.4	240.1	200.5	3095.7	1706.1	722.4	319	226	159
"R.huebeneriana.GOT.2.autoMSMS.pos_P1.C.2_1_7125"	1	10	1	1	2	3.3	3	54	62	70	2	4	4	5	4	6	4	4	7	3	0	600	600	6411367	928	1	0	0	3	860892	8.25	6.8	28.9	6.35	21.05	-3.15	24.2	13.95	4.25	16.25	0.15	843.6	91.1	45.9	21.9	252.3	161.4	240.1	200.5	3095.7	1706.1	722.4	319	226	159
"R.huebeneriana.GOT.3.autoMSMS.pos_P1.C.3_1_7126"	1	10	1	1	2	3.3	3	54	62	70	2	4	4	5	4	6	4	4	7	3	0	600	600	6411367	928	1	0	0	3	860892	8.25	6.8	28.9	6.35	21.05	-3.15	24.2	13.95	4.25	16.25	0.15	843.6	91.1	45.9	21.9	252.3	161.4	240.1	200.5	3095.7	1706.1	722.4	319	226	159
"A.gracilis.SWE.1.autoMSMS.pos_P1.B.1_1_7058"	1	10	3	3	1	6.7	3	50	57.5	65	2	0	4	2	5	2	4	4	0	0	0	2400	2400	0	2500	2	0	0	0	7971719	1.55	6.4	18.6	9.16	19.25	-14.05	31.8	13.05	-4.75	13.95	-10.55	759.1	98.1	36.7	30.7	270.2	118.5	265.2	144.3	1831.5	964.6	348.5	196	149	97
"A.gracilis.SWE.2.autoMSMS.pos_P1.B.2_1_7059"	1	10	3	3	1	6.7	3	50	57.5	65	2	0	4	2	5	2	4	4	0	0	0	2400	2400	0	2500	2	0	0	0	7971719	1.55	6.4	18.6	9.16	19.25	-14.05	31.8	13.05	-4.75	13.95	-10.55	759.1	98.1	36.7	30.7	270.2	118.5	265.2	144.3	1831.5	964.6	348.5	196	149	97
"A.gracilis.SWE.3.autoMSMS.pos_P1.B.3_1_7060"	1	10	3	3	1	6.7	3	50	57.5	65	2	0	4	2	5	2	4	4	0	0	0	2400	2400	0	2500	2	0	0	0	7971719	1.55	6.4	18.6	9.16	19.25	-14.05	31.8	13.05	-4.75	13.95	-10.55	759.1	98.1	36.7	30.7	270.2	118.5	265.2	144.3	1831.5	964.6	348.5	196	149	97
"R.gothica.GOT.1.autoMSMS.pos_P1.C.4_1_7127"	2	5	1	1	3	3.3	3	0	70	0	3	0	1	1	1	1	1	6	0	0	0	0	0	3e+05	75	2	4	3	1	11292	7.55	5.4	22.2	6.43	20.25	-3.35	24	15.05	1.75	15.85	0.05	648.6	77.7	33.4	24.6	220.8	108.7	220.8	136.2	2792	1500.8	632.8	314	207	140
"R.gothica.GOT.2.autoMSMS.pos_P1.C.5_1_7128"	2	5	1	1	3	3.3	3	0	70	0	3	0	1	1	1	1	1	6	0	0	0	0	0	3e+05	75	2	4	3	1	11292	7.55	5.4	22.2	6.43	20.25	-3.35	24	15.05	1.75	15.85	0.05	648.6	77.7	33.4	24.6	220.8	108.7	220.8	136.2	2792	1500.8	632.8	314	207	140
"R.gothica.GOT.3.autoMSMS.pos_P1.C.6_1_7129"	2	5	1	1	3	3.3	3	0	70	0	3	0	1	1	1	1	1	6	0	0	0	0	0	3e+05	75	2	4	3	1	11292	7.55	5.4	22.2	6.43	20.25	-3.35	24	15.05	1.75	15.85	0.05	648.6	77.7	33.4	24.6	220.8	108.7	220.8	136.2	2792	1500.8	632.8	314	207	140
"M.fragrans.GOT.1.autoMSMS.pos_P1.A.1_1_7049"	3	13	2	2	1	16.7	4	55	66.5	82	0	0	1	1	1	1	1	3	0	0	200	2800	2600	0	480	3	0	0	0	7678012	6.45	7.5	22.8	9.19	23.45	-9.05	32.2	16.85	-1.15	18.05	-5.15	649.1	82.9	32.9	29	230.9	106.3	220.1	128.8	2948	1835.5	936.5	243	198	154
"M.fragrans.GOT.2.autoMSMS.pos_P1.A.2_1_7050"	3	13	2	2	1	16.7	4	55	66.5	82	0	0	1	1	1	1	1	3	0	0	200	2800	2600	0	480	3	0	0	0	7678012	6.45	7.5	22.8	9.19	23.45	-9.05	32.2	16.85	-1.15	18.05	-5.15	649.1	82.9	32.9	29	230.9	106.3	220.1	128.8	2948	1835.5	936.5	243	198	154
"M.fragrans.GOT.3.autoMSMS.pos_P1.A.3_1_7051"	3	13	2	2	1	16.7	4	55	66.5	82	0	0	1	1	1	1	1	3	0	0	200	2800	2600	0	480	3	0	0	0	7678012	6.45	7.5	22.8	9.19	23.45	-9.05	32.2	16.85	-1.15	18.05	-5.15	649.1	82.9	32.9	29	230.9	106.3	220.1	128.8	2948	1835.5	936.5	243	198	154
"R.hemisphaerica.GOT.1.autoMSMS.pos_P1.A.4_1_7052"	1	40	2	2	2	16.7	3	56	71	86	2	2	2	4	3	5	6	4	8	6	0	2500	2500	0	0	2	2	2	3	16340945	5.15	6.8	23	8.05	21.35	-8.65	30	14.05	-1.15	15.95	-4.65	737.1	93.6	36.1	29.4	258.8	117.4	243.9	146.1	2562.6	1457.5	620.4	237	185	136
"R.hemisphaerica.GOT.2.autoMSMS.pos_P1.A.5_1_7053"	1	40	2	2	2	16.7	3	56	71	86	2	2	2	4	3	5	6	4	8	6	0	2500	2500	0	0	2	2	2	3	16340945	5.15	6.8	23	8.05	21.35	-8.65	30	14.05	-1.15	15.95	-4.65	737.1	93.6	36.1	29.4	258.8	117.4	243.9	146.1	2562.6	1457.5	620.4	237	185	136
"R.hemisphaerica.GOT.3.autoMSMS.pos_P1.A.6_1_7054"	1	40	2	2	2	16.7	3	56	71	86	2	2	2	4	3	5	6	4	8	6	0	2500	2500	0	0	2	2	2	3	16340945	5.15	6.8	23	8.05	21.35	-8.65	30	14.05	-1.15	15.95	-4.65	737.1	93.6	36.1	29.4	258.8	117.4	243.9	146.1	2562.6	1457.5	620.4	237	185	136
"A.hyalina.GOT.1.autoMSMS.pos_P1.A.7_1_7055"	1	70	3	3	2	6.7	2	45	45	55	3	1	4	1	5	2	6	2	1	6	1000	3000	2000	15867335	1252	3	0	0	1	17722717	4.85	6.9	21	8.75	21.75	-10.55	31.1	14.85	-1.75	16.35	-6.85	708	89.6	34.7	29.3	250	112.4	237.7	138.3	2582.7	1500.5	674.9	227	185	137
"A.hyalina.GOT.2.autoMSMS.pos_P1.A.8_1_7056"	1	70	3	3	2	6.7	2	45	45	55	3	1	4	1	5	2	6	2	1	6	1000	3000	2000	15867335	1252	3	0	0	1	17722717	4.85	6.9	21	8.75	21.75	-10.55	31.1	14.85	-1.75	16.35	-6.85	708	89.6	34.7	29.3	250	112.4	237.7	138.3	2582.7	1500.5	674.9	227	185	137
"A.hyalina.GOT.3.autoMSMS.pos_P1.A.9_1_7057"	1	70	3	3	2	6.7	2	45	45	55	3	1	4	1	5	2	6	2	1	6	1000	3000	2000	15867335	1252	3	0	0	1	17722717	4.85	6.9	21	8.75	21.75	-10.55	31.1	14.85	-1.75	16.35	-6.85	708	89.6	34.7	29.3	250	112.4	237.7	138.3	2582.7	1500.5	674.9	227	185	137
